================================================================================================================================================================
eig.json failed
silu_batch_norm.json: 0.3655
gammaln.json: 0.4405
determinant_lu.json: 0.709
tensordot_rsqrt.json: 2.2318
fused_index_select_eq.json: 0.7873
gelu_min.json: 0.4121
solve_multiple_lu.json: 0.9686
log1p.json: 0.2362
i0.json: 0.6449
matrix_multiply_symmetric.json: 0.6893
elu_linear.json: 1.9
index_fill_.json: 0.8217
erf.json: 0.4041
fused_mv_sigmoid_sub.json: 0.2342
signbit_bitwise_and.json: 0.5254
det.json: 1.5777
sub.json: 0.3929
solve.json: 0.802
fused_instance_norm_selu_conv2d.json: 0.2226
permute_copy.json: 0.4131
lu.py.json: 1.1829
fused_avg_pool2d_cosine_similarity.json: 0.1844
tensordot.json: 0.2988
invert_matrix_lu.json: 1.6266
polygamma.json: 0.5045
scaled_add_dot.json: 0.2179
tanh.json: 0.3994
pixel_shuffle_conv2d.json: 0.873
relu_batch_norm_conv2d.json: 0.4174
broadcast_tensors.json: 2.7575
matmul.json: 0.8907
argmax.json: 0.6356
fused_cosine_embedding_loss_with_normalization.json: 0.4223
fused_qr_solve.json: 1.7538
sum_std.json: 1.0316
min_gelu.json: 0.2005
floor.json: 0.4011
cholesky_solve.json: 0.5524
fused_layer_norm_relu_linear.json: 0.2844
dropout_sigmoid_linear.json: 1.6489
ifftshift.json: 0.5758
cos_signbit.json: 0.4173
fused_cross_entropy_softmax_layernorm.json: 0.4359
mul.json: 0.209
fused_cross_entropy_log_softmax.json: 1.4365
log.json: 0.2334
cholesky.json: 0.8832
log_tanh.json: 0.1024
matrix_multiply_and_row_dot.json: 0.9125
asin.json: 0.4894
pow.json: 0.2326
SGD.py.json: 0.4149
fused_add_mul_groupnorm.json: 0.503
relu_conv2d.json: 0.2079
fftn.json: 0.6239
Adam.json: 0.1452
rand.json: 0.413
sum.json: 0.4814
reciprocal.json: 0.2317
autocast.json: 0.7784
fused_pairwise_distance_adaptive_avg_pool2d.json: 0.4223
airy_ai.json: 0.9789
sub_gelu.json: 0.2453
solve_symmetric_ldl.json: 0.667
fused_transformer_block.json: 2.2619
fused_hstack_div.json: 0.3987
fused_pairwise_distance_normalize.json: 0.5875
gelu_conv2d.json: 0.8051
spectral_norm_eig.json failed
min.json: 0.1577
mul_relu.json: 0.1786
scaled_add_norm.json: 0.2348
cos.json: 0.4025
softmax_log.json: 0.4169
selu.json: 0.2475
abs.json: 0.2323
sigmoid_adaptive_avg_pool2d.json: 1.4444
chebyshev_polynomial_t.json: 0.2336
adaptive_avg_pool2d.json: 1.3275
fused_embedding_add_tanh.json: 0.6289
signbit.json: 0.4302
log_softmax_linear.json: 0.6881
[0.3655, 0.4405, 0.709, 2.2318, 0.7873, 0.4121, 0.9686, 0.2362, 0.6449, 0.6893, 1.9, 0.8217, 0.4041, 0.2342, 0.5254, 1.5777, 0.3929, 0.802, 0.2226, 0.4131, 1.1829, 0.1844, 0.2988, 1.6266, 0.5045, 0.2179, 0.3994, 0.873, 0.4174, 2.7575, 0.8907, 0.6356, 0.4223, 1.7538, 1.0316, 0.2005, 0.4011, 0.5524, 0.2844, 1.6489, 0.5758, 0.4173, 0.4359, 0.209, 1.4365, 0.2334, 0.8832, 0.1024, 0.9125, 0.4894, 0.2326, 0.4149, 0.503, 0.2079, 0.6239, 0.1452, 0.413, 0.4814, 0.2317, 0.7784, 0.4223, 0.9789, 0.2453, 0.667, 2.2619, 0.3987, 0.5875, 0.8051, 0.1577, 0.1786, 0.2348, 0.4025, 0.4169, 0.2475, 0.2323, 1.4444, 0.2336, 1.3275, 0.6289, 0.4302, 0.6881]

perf_T_results
speed up: 0.66
================================================================================================================================================================
